gloassario	highlight-id	application-id	type	optional-name	optional-desc	internal-document	url
aplicacao é home tryon	CASE001	APL001	case-news				"http://digitaldetoxholidays.com/,www.google.com,www.google.com,www.google.com,www.google.com,www.google.com"
"highlights, sao os 3 fields dentro do modal"	CASE002		case-news				http://outraqualquer.com/
			case-brand				https://www.akumina.com/office-365/akumina-helping-to-enable-retail-execution-at-nrf-2018-retails-big-show/
			internal-doc				https://behavioralsignals.com/behavioral-patterns/
	PART001		partner				https://medium.com/@jinghanhao/experiencing-new-retail-in-china-hema-fresh-a5ba4c94da22
	TECH001		tech			www.sharepoint.com	https://www.inc.com/bill-murphy-jr/amazon-is-recruiting-entrepreneurs-to-local-start-delivery-companies-heres-why-i-think-some-people-could-get-rich.html
							https://www.youtube.com/channel/UCOYTXGVqi_SKtbO6X6-baJQ
							https://tubularlabs.com/
							https://www.eatizz.com/en/
							https://exoskeletonreport.com/product-category/exoskeleton-catalog/industrial/
							https://www.ibm.com/blockchain/solutions/food-trust
							http://www.emulsar.com/
							https://www.cogap.de/en
							https://thea2milkcompany.com/
							https://www.nutrinohealth.com/
							https://food.ndtv.com/food-drinks/robots-used-for-packaging-processing-fruits-and-veggies-1208177
							https://www.rw3.com/image-recognition-at-the-shelf-the-solution-to-solve-on-shelf-availability/
							https://www.eyeconic.com/help-me/virtual-try-on
							www.warbyparker.com
							https://www.prnewswire.com/news-releases/israel-s-shufersal-the-first-supermarket-chain-to-offer-customers-amazon-go-experience-with-trigo-vision-872123282.html
							https://www.30secondstofly.com/
							https://shelf.ai/
							https://www.wired.co.uk/article/energy-agrivoltaic-farms
							https://news.energysage.com/tesla-solar-panel-roof-the-next-solar-shingles/
							https://news.energysage.com/solar-panel-windows-solar-blinds/
							https://www.noticiasmagazine.pt/2018/sacos-plastico-amigos-do-planeta-sim-ja-existem/ 
							https://olioex.com/
							https://www.ypack.eu/
							https://www.meyash.co/
							https://www.museumoficecream.com/
							https://www.meatfreemondays.com/
							https://www.netflix.com/pt-en/title/80988062
							https://sweatco.in/
							https://www.nhs.uk/live-well/eat-well/5-a-day-what-counts/
							https://www.boxed.com/
							https://www.businessinsider.com/walmart-patent-shopping-cart-that-tracks-stress-levels-2018-9
